Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
D_CON1_1	58.2656865935	50.0	150.0	37707928.0	18.1818181818
D_CON1_2	56.80877683	50.0	150.0	37707928.0	18.1818181818
D_CON2_1	58.3792559272	50.0	150.0	36417862.0	18.1818181818
D_CON2_2	57.3474175028	50.0	150.0	36417862.0	18.1818181818
D_CON3_1	58.598553684	50.0	150.0	38991251.0	18.1818181818
D_CON3_2	57.2708931584	50.0	150.0	38991251.0	18.1818181818
D_TREAT1_1	59.1702279432	50.0	150.0	43336992.0	18.1818181818
D_TREAT1_2	58.1253355515	50.0	150.0	43336992.0	18.1818181818
D_TREAT2_1	58.851766766	50.0	150.0	42457605.0	18.1818181818
D_TREAT2_2	56.0423965942	50.0	150.0	42457605.0	18.1818181818
D_TREAT3_1	57.2529523412	50.0	150.0	34415507.0	18.1818181818
D_TREAT3_2	55.8632606142	50.0	150.0	34415507.0	18.1818181818
H_CON1_1	57.9840270686	50.0	150.0	42102903.0	18.1818181818
H_CON1_2	57.1995799177	50.0	150.0	42102903.0	18.1818181818
H_CON2_1	56.7697730104	50.0	150.0	34709137.0	18.1818181818
H_CON2_2	55.5007071538	50.0	150.0	34709137.0	18.1818181818
H_CON3_1	57.2688677647	50.0	150.0	34866077.0	18.1818181818
H_CON3_2	55.1099827418	50.0	150.0	34866077.0	18.1818181818
H_CYTKN1_1	61.3785798765	50.0	150.0	42674529.0	18.1818181818
H_CYTKN1_2	59.8201356793	50.0	150.0	42674529.0	18.1818181818
H_CYTKN2_1	58.7142476577	50.0	150.0	32725662.0	18.1818181818
H_CYTKN2_2	57.3003770667	50.0	150.0	32725662.0	18.1818181818
H_CYTKN3_1	60.7124744422	50.0	150.0	38874085.0	18.1818181818
H_CYTKN3_2	58.9342138318	50.0	150.0	38874085.0	18.1818181818
H_TREAT1_1	56.0159151182	50.0	150.0	33628081.0	18.1818181818
H_TREAT1_2	55.2943204256	50.0	150.0	33628081.0	18.1818181818
H_TREAT2_1	58.2956630068	50.0	150.0	39727634.0	18.1818181818
H_TREAT2_2	56.1037002897	50.0	150.0	39727634.0	18.1818181818
H_TREAT3_1	57.2479872904	50.0	150.0	34563346.0	18.1818181818
H_TREAT3_2	56.3140938172	49.0	150.0	34563346.0	18.1818181818
