Module	Section	Sample Name	Source
FastQC	all_sections	H_CYTKN1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CYTKN1_1_fastqc.zip
FastQC	all_sections	H_CYTKN1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CYTKN1_2_fastqc.zip
FastQC	all_sections	H_CON3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CON3_1_fastqc.zip
FastQC	all_sections	H_CON3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CON3_2_fastqc.zip
FastQC	all_sections	H_CYTKN2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CYTKN2_2_fastqc.zip
FastQC	all_sections	H_CYTKN2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CYTKN2_1_fastqc.zip
FastQC	all_sections	H_CON2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CON2_1_fastqc.zip
FastQC	all_sections	H_CON2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CON2_2_fastqc.zip
FastQC	all_sections	H_CYTKN3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CYTKN3_2_fastqc.zip
FastQC	all_sections	H_CON1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CON1_2_fastqc.zip
FastQC	all_sections	H_CON1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CON1_1_fastqc.zip
FastQC	all_sections	H_CYTKN3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_CYTKN3_1_fastqc.zip
FastQC	all_sections	H_TREAT3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_TREAT3_2_fastqc.zip
FastQC	all_sections	H_TREAT3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_TREAT3_1_fastqc.zip
FastQC	all_sections	H_TREAT2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_TREAT2_2_fastqc.zip
FastQC	all_sections	H_TREAT2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_TREAT2_1_fastqc.zip
FastQC	all_sections	D_CON1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_CON1_2_fastqc.zip
FastQC	all_sections	D_CON1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_CON1_1_fastqc.zip
FastQC	all_sections	H_TREAT1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_TREAT1_1_fastqc.zip
FastQC	all_sections	D_TREAT3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_TREAT3_2_fastqc.zip
FastQC	all_sections	D_TREAT3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_TREAT3_1_fastqc.zip
FastQC	all_sections	H_TREAT1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/H_TREAT1_2_fastqc.zip
FastQC	all_sections	D_TREAT2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_TREAT2_2_fastqc.zip
FastQC	all_sections	D_TREAT2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_TREAT2_1_fastqc.zip
FastQC	all_sections	D_TREAT1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_TREAT1_1_fastqc.zip
FastQC	all_sections	D_TREAT1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_TREAT1_2_fastqc.zip
FastQC	all_sections	D_CON3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_CON3_1_fastqc.zip
FastQC	all_sections	D_CON3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_CON3_2_fastqc.zip
FastQC	all_sections	D_CON2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_CON2_1_fastqc.zip
FastQC	all_sections	D_CON2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/raw/fastqcdata/D_CON2_2_fastqc.zip
