Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
D_CON1_1	5656189200	12906468	6056075	37707928	0.763265203363	5613017476
D_CON1_2	5656189200	12879477	6043769	37707928	0.766691750693	5612823664
D_CON2_1	5462679300	12558264	6733471	36417862	0.805811060518	5418660426
D_CON2_2	5462679300	12510868	6383022	36417862	0.796527319479	5419167567
D_CON3_1	5848687650	13394304	6671500	38991251	0.820230039127	5800714957
D_CON3_2	5848687650	13357900	5732430	38991251	0.811290991065	5801237774
D_TREAT1_1	6500548800	14889370	6126291	43336992	0.816255605988	6447487706
D_TREAT1_2	6500548800	14869218	5814430	43336992	0.813756401613	6447650168
D_TREAT2_1	6368640750	14469473	7473163	42457605	0.723596946491	6322557460
D_TREAT2_2	6368640750	14415086	7781767	42457605	0.729566666168	6322177270
D_TREAT3_1	5162326050	11486651	4914446	34415507	0.549004765013	5133984634
D_TREAT3_2	5162326050	11452061	4815607	34415507	0.550679436453	5133898182
H_CON1_1	6315435450	14352543	7646978	42102903	0.734454470594	6269051452
H_CON1_2	6315435450	14319247	6766591	42102903	0.724440608446	6269683871
H_CON2_1	5206370550	11899899	6812270	34709137	0.821284992863	5163611410
H_CON2_2	5206370550	11877504	6089769	34709137	0.80879400718	5164261737
H_CON3_1	5229911550	11956199	5391805	34866077	0.794213948035	5188374863
H_CON3_2	5229911550	11930870	5738098	34866077	0.803049795364	5187912756
H_CYTKN1_1	6401179350	14715142	6927982	42674529	0.784976505931	6350931596
H_CYTKN1_2	6401179350	14685330	6296374	42674529	0.777184832354	6351430355
H_CYTKN2_1	4908849300	11132019	6132916	32725662	0.733352987634	4872850107
H_CYTKN2_2	4908849300	11104799	5848277	32725662	0.728486775913	4873088982
H_CYTKN3_1	5831112750	13209091	7240352	38874085	0.766788414441	5786400453
H_CYTKN3_2	5831112750	13179302	6924449	38874085	0.761531356086	5786706998
H_TREAT1_1	5044212150	11535248	6423398	33628081	0.783274965943	5004702099
H_TREAT1_2	5044212150	11507827	5794290	33628081	0.770899475352	5005326345
H_TREAT2_1	5959145100	13613006	7021262	39727634	0.784576079545	5912391073
H_TREAT2_2	5959145100	13584615	6944857	39727634	0.782887582314	5912491693
H_TREAT3_1	5184501900	12019921	5779748	34563346	0.835249901249	5141198353
H_TREAT3_2	5184501900	11991470	5474178	34563346	0.825680264482	5141694491
