Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
D_CON1_val_1	pass	0.0	fail	148.327692837	Sanger / Illumina 1.9	pass	5.6 Gbp	20-150	Conventional base calls	pass	pass	warn	37703009.0	pass	fail	pass	50.0	41.7304829535	D_CON1_val_1.fq.gz	warn	pass
D_CON1_val_2	pass	0.0	fail	148.325198023	Sanger / Illumina 1.9	pass	5.6 Gbp	20-150	Conventional base calls	pass	pass	warn	37703009.0	pass	fail	pass	50.0	43.1819446154	D_CON1_val_2.fq.gz	pass	pass
D_CON2_val_1	pass	0.0	fail	148.265382104	Sanger / Illumina 1.9	pass	5.4 Gbp	20-150	Conventional base calls	pass	pass	warn	36412508.0	pass	fail	pass	50.0	41.6103558485	D_CON2_val_1.fq.gz	warn	pass
D_CON2_val_2	pass	0.0	fail	148.287034554	Sanger / Illumina 1.9	pass	5.4 Gbp	20-150	Conventional base calls	pass	pass	warn	36412508.0	pass	fail	pass	50.0	42.6427489398	D_CON2_val_2.fq.gz	pass	pass
D_CON3_val_1	pass	0.0	fail	148.248237369	Sanger / Illumina 1.9	pass	5.8 Gbp	20-150	Conventional base calls	pass	pass	warn	38986612.0	pass	fail	pass	50.0	41.3918084641	D_CON3_val_1.fq.gz	warn	pass
D_CON3_val_2	pass	0.0	fail	148.264260665	Sanger / Illumina 1.9	pass	5.8 Gbp	20-150	Conventional base calls	pass	pass	warn	38986612.0	pass	fail	pass	50.0	42.7233034056	D_CON3_val_2.fq.gz	pass	pass
D_TREAT1_val_1	pass	0.0	fail	148.253833005	Sanger / Illumina 1.9	pass	6.4 Gbp	20-150	Conventional base calls	pass	pass	warn	43332970.0	pass	fail	pass	51.0	40.8275745387	D_TREAT1_val_1.fq.gz	warn	pass
D_TREAT1_val_2	pass	0.0	fail	148.260498438	Sanger / Illumina 1.9	pass	6.4 Gbp	20-150	Conventional base calls	pass	pass	warn	43332970.0	pass	fail	pass	51.0	41.8683098221	D_TREAT1_val_2.fq.gz	pass	pass
D_TREAT2_val_1	pass	0.0	fail	148.388313459	Sanger / Illumina 1.9	pass	6.3 Gbp	20-150	Conventional base calls	pass	pass	warn	42451279.0	pass	fail	pass	50.0	41.1459780125	D_TREAT2_val_1.fq.gz	warn	pass
D_TREAT2_val_2	pass	0.0	fail	148.381900413	Sanger / Illumina 1.9	pass	6.3 Gbp	20-150	Conventional base calls	pass	pass	warn	42451279.0	pass	fail	pass	50.0	43.9490559596	D_TREAT2_val_2.fq.gz	pass	pass
