Sample	Cutadapt_percent_trimmed	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
D_CON1_1	0.763265203363					
D_CON1_2	0.766691750693					
D_CON1_val_1		58.2695170465	50.0	148.327692837	37703009.0	18.1818181818
D_CON1_val_2		56.8180553846	50.0	148.325198023	37703009.0	18.1818181818
D_CON2_1	0.805811060518					
D_CON2_2	0.796527319479					
D_CON2_val_1		58.3896441515	50.0	148.265382104	36412508.0	18.1818181818
D_CON2_val_2		57.3572510602	50.0	148.287034554	36412508.0	18.1818181818
D_CON3_1	0.820230039127					
D_CON3_2	0.811290991065					
D_CON3_val_1		58.6081915359	50.0	148.248237369	38986612.0	18.1818181818
D_CON3_val_2		57.2766965944	50.0	148.264260665	38986612.0	18.1818181818
D_TREAT1_1	0.816255605988					
D_TREAT1_2	0.813756401613					
D_TREAT1_val_1		59.1724254613	51.0	148.253833005	43332970.0	18.1818181818
D_TREAT1_val_2		58.1316901779	51.0	148.260498438	43332970.0	18.1818181818
D_TREAT2_1	0.723596946491					
D_TREAT2_2	0.729566666168					
D_TREAT2_val_1		58.8540219875	50.0	148.388313459	42451279.0	18.1818181818
D_TREAT2_val_2		56.0509440404	50.0	148.381900413	42451279.0	18.1818181818
D_TREAT3_1	0.549004765013					
D_TREAT3_2	0.550679436453					
D_TREAT3_val_1		57.2614682701	50.0	148.642586239	34412567.0	18.1818181818
D_TREAT3_val_2		55.8662505991	50.0	148.642577318	34412567.0	18.1818181818
H_CON1_1	0.734454470594					
H_CON1_2	0.724440608446					
H_CON1_val_1		57.9921218542	50.0	148.374921584	42095912.0	18.1818181818
H_CON1_val_2		57.2135123812	50.0	148.396118844	42095912.0	18.1818181818
H_CON2_1	0.821284992863					
H_CON2_2	0.80879400718					
H_CON2_val_1		56.7724173544	50.0	148.25088071	34702134.0	18.1818181818
H_CON2_val_2		55.5132724193	50.0	148.278540882	34702134.0	18.1818181818
H_CON3_1	0.794213948035					
H_CON3_2	0.803049795364					
H_CON3_val_1		57.2720060308	50.0	148.292123738	34859899.0	18.1818181818
H_CON3_val_2		55.1165759023	50.0	148.280376171	34859899.0	18.1818181818
H_CYTKN1_1	0.784976505931					
H_CYTKN1_2	0.777184832354					
H_CYTKN1_val_1		61.3812526367	50.0	148.295764299	42669653.0	18.1818181818
H_CYTKN1_val_2		59.8243365706	50.0	148.311919176	42669653.0	18.1818181818
H_CYTKN2_1	0.733352987634					
H_CYTKN2_2	0.728486775913					
H_CYTKN2_val_1		58.7114698926	50.0	148.377207486	32719006.0	18.1818181818
H_CYTKN2_val_2		57.3094668403	50.0	148.395657619	32719006.0	18.1818181818
H_CYTKN3_1	0.766788414441					
H_CYTKN3_2	0.761531356086					
H_CYTKN3_val_1		60.7203299977	51.0	148.329666021	38867427.0	18.1818181818
H_CYTKN3_val_2		58.9487136977	50.0	148.344817577	38867427.0	18.1818181818
H_TREAT1_1	0.783274965943					
H_TREAT1_2	0.770899475352					
H_TREAT1_val_1		56.023482222	50.0	148.309764192	33620090.0	18.1818181818
H_TREAT1_val_2		55.3079911822	50.0	148.336756297	33620090.0	18.1818181818
H_TREAT2_1	0.784576079545					
H_TREAT2_2	0.782887582314					
H_TREAT2_val_1		58.3045935986	50.0	148.301448385	39721125.0	18.1818181818
H_TREAT2_val_2		56.1151957644	50.0	148.306830912	39721125.0	18.1818181818
H_TREAT3_1	0.835249901249					
H_TREAT3_2	0.825680264482					
H_TREAT3_val_1		57.2505298493	50.0	148.228825023	34556496.0	18.1818181818
H_TREAT3_val_2		56.3219254904	50.0	148.248848494	34556496.0	18.1818181818
