Module	Section	Sample Name	Source
Cutadapt	all_sections	H_CYTKN1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN1_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CYTKN1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN1_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CON3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON3_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CON3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON3_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CYTKN2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN2_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CYTKN2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN2_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CON2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON2_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CON2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON2_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CYTKN3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN3_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CON1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON1_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CON1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON1_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_CYTKN3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN3_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_TREAT3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT3_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_TREAT3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT3_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_TREAT2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT2_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_TREAT2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT2_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_CON1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON1_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_CON1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON1_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_TREAT1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT1_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_TREAT3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT3_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_TREAT3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT3_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	H_TREAT1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT1_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_TREAT2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT2_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_TREAT2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT2_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_TREAT1_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT1_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_TREAT1_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT1_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_CON3_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON3_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_CON3_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON3_2.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_CON2_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON2_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	D_CON2_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON2_2.fq.gz_trimming_report.txt
FastQC	all_sections	H_TREAT1_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT1_val_1_fastqc.zip
FastQC	all_sections	H_TREAT1_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT1_val_2_fastqc.zip
FastQC	all_sections	D_CON3_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON3_val_1_fastqc.zip
FastQC	all_sections	D_TREAT1_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT1_val_1_fastqc.zip
FastQC	all_sections	D_TREAT1_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT1_val_2_fastqc.zip
FastQC	all_sections	D_CON3_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON3_val_2_fastqc.zip
FastQC	all_sections	H_CON1_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON1_val_2_fastqc.zip
FastQC	all_sections	H_CON1_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON1_val_1_fastqc.zip
FastQC	all_sections	H_TREAT3_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT3_val_2_fastqc.zip
FastQC	all_sections	D_CON2_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON2_val_1_fastqc.zip
FastQC	all_sections	D_CON2_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON2_val_2_fastqc.zip
FastQC	all_sections	H_CYTKN1_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN1_val_1_fastqc.zip
FastQC	all_sections	H_CYTKN1_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN1_val_2_fastqc.zip
FastQC	all_sections	D_CON1_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON1_val_2_fastqc.zip
FastQC	all_sections	D_CON1_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_CON1_val_1_fastqc.zip
FastQC	all_sections	D_TREAT2_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT2_val_2_fastqc.zip
FastQC	all_sections	H_CYTKN2_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN2_val_2_fastqc.zip
FastQC	all_sections	H_CYTKN2_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN2_val_1_fastqc.zip
FastQC	all_sections	D_TREAT2_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT2_val_1_fastqc.zip
FastQC	all_sections	D_TREAT3_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT3_val_2_fastqc.zip
FastQC	all_sections	D_TREAT3_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/D_TREAT3_val_1_fastqc.zip
FastQC	all_sections	H_CON2_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON2_val_1_fastqc.zip
FastQC	all_sections	H_CON2_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON2_val_2_fastqc.zip
FastQC	all_sections	H_CYTKN3_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN3_val_2_fastqc.zip
FastQC	all_sections	H_CYTKN3_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CYTKN3_val_1_fastqc.zip
FastQC	all_sections	H_CON3_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON3_val_1_fastqc.zip
FastQC	all_sections	H_CON3_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_CON3_val_2_fastqc.zip
FastQC	all_sections	H_TREAT2_val_2	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT2_val_2_fastqc.zip
FastQC	all_sections	H_TREAT3_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT3_val_1_fastqc.zip
FastQC	all_sections	H_TREAT2_val_1	/media/localuser/amp/Phyo/X204SC20063329-Z01-F001_02/trimmed_fastqc/H_TREAT2_val_1_fastqc.zip
